StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q31,Q36_1,Q4,Q5,Q8,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q9,Q10,Q17,Q11,Q7,Q12,Q14,Q15,Q32,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q34,Q35
2023-11-29 10:41:33,2023-11-29 10:46:57,IP Address,47.205.2.174,100,324,True,2023-11-29 10:46:58,R_eEv3xpaqICWCsXn,,,,,27.9455,-82.4598,anonymous,EN,I agree to participate.,Yes,Hillsborough,"My circumstances changed, and I no longer needed childcare for my child(ren).",Other,Other,5,1,4,3,2,6,"2 children  ","$75-100 ",Not Applicable,"Home  ","Personal motor vehicle ",Less than 5 minutes,830,400,3,Single,"English ",Very well,"Prefer not to answer ","Some college credit but no degree ","Prefer not to say ",No,Hispanic or Latino,White
2023-11-29 10:42:07,2023-11-29 10:48:27,IP Address,172.109.128.250,100,379,True,2023-11-29 10:48:27,R_2yelaE0i21H4imi,,,,,28.0508,-82.4484,anonymous,EN,I agree to participate.,Yes,Hillsborough,I had trouble finding a provider that met my needs.,,Available providers were too expensive.,1,5,3,4,2,6,"4 children  ","$50-75 ",Not Applicable,"My other children’s school  ","Personal motor vehicle ",5 to 10 minutes,7:00,6:00,5,Single,"English ",Very well,"Less than $14,000 ","9th-12th grade (no high school diploma) ","Employed full-time ",No,Not Hispanic or Latino,Black or African American
2023-11-29 10:45:25,2023-11-29 10:50:14,IP Address,8.19.73.18,100,289,True,2023-11-29 10:50:15,R_2bKJOnmrllgJWVj,,,,,25.7869,-80.2021,anonymous,EN,I agree to participate.,Yes,Miami-Dade,I had trouble finding a provider that met my needs.,,None of the available providers were a good fit for my needs.,1,2,3,4,5,6,"1 child ","$0-25 ","4-year-old ","Work  ","Personal motor vehicle ",20 to 30 minutes,6,6,2,"Widowed ","English ",Very well,"Less than $14,000 ","Some college credit but no degree ","Seeking job opportunities ",Yes,Not Hispanic or Latino,Black or African American
2023-11-29 10:47:11,2023-11-29 10:50:31,IP Address,57.135.15.42,100,199,True,2023-11-29 10:50:32,R_cSnlNi04qdp9Zmh,,,,,26.9146,-82.0559,anonymous,EN,I agree to participate.,Yes,Charlotte,I had trouble finding a provider that met my needs.,"I was no longer eligible for the Florida School Readiness program (ELC voucher/subsidy).,Other",None of the available providers were a good fit for my needs.,2,4,3,5,1,6,"3 children  ","$0-25 ","2-year-old ,5-year-old ","Home  ","Personal motor vehicle ",5 to 10 minutes,7,4,6+,"Married ","English ",Very well,"$30,000 to $39,000  ","High school graduate or GED completed ","Homemaking (not paid) ",No,Not Hispanic or Latino,White
2023-11-29 10:52:41,2023-11-29 10:53:00,IP Address,47.206.111.34,100,18,True,2023-11-29 10:53:00,R_3qCYJ1DpIcmAvK9,,,,,27.095,-82.4485,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 10:47:04,2023-11-29 10:53:01,IP Address,166.205.159.56,100,357,True,2023-11-29 10:53:02,R_3EgRz5FikiUMgfC,,,,,25.8119,-80.2318,anonymous,EN,I agree to participate.,Yes,Manatee,I had trouble finding a provider that met my needs.,,Other,5,1,3,2,4,6,"1 child ","$25-50 ","1-year-old ","Home  ","Personal motor vehicle ",10 to 20 minutes,7:00,5:00,6+,Single,"English ",Very well,"$30,000 to $39,000  ","High school graduate or GED completed ","Seeking job opportunities ",No,Hispanic or Latino,White
2023-11-29 10:50:00,2023-11-29 10:53:55,IP Address,172.59.64.60,100,234,True,2023-11-29 10:53:56,R_3iVd5ovSvxIJY7d,,,,,30.3562,-81.688,anonymous,EN,I agree to participate.,Yes,Duval,"My circumstances changed, and I no longer needed childcare for my child(ren).","I found family/friends to help with childcare.,I decided to stay home with my child.,Other",None of the available providers were a good fit for my needs.,1,5,4,2,3,6,"1 child ","$25-50 ",Not Applicable,"Home  ","Bus or other public transportation ",10 to 20 minutes,7,5,4,Single,"English ",Very well,"$15,000 to 19,000 ","Some college credit but no degree ","Employed part-time ",No,Not Hispanic or Latino,White
2023-11-29 10:45:18,2023-11-29 10:54:09,IP Address,72.186.18.188,100,531,True,2023-11-29 10:54:10,R_cIPJzWqb1Gne9IR,,,,,27.9883,-82.2991,anonymous,EN,I agree to participate.,Yes,Hillsborough,I had trouble finding a provider that met my needs.,Other,Other,1,5,3,4,2,6,"3 children  ","$75-100 ","6-years-old or older  ","Home  ","Personal motor vehicle ",5 to 10 minutes,6,6,4,"Divorced/Separated ","English ",Very well,"$30,000 to $39,000  ","Some college credit but no degree ","Employed full-time ",No,Not Hispanic or Latino,Black or African American
2023-11-29 10:41:58,2023-11-29 10:56:08,IP Address,174.240.65.84,100,850,True,2023-11-29 10:56:09,R_2BqW4iom9qJdsOe,,,,,28.6344,-81.6221,anonymous,EN,I agree to participate.,Yes,Leon,I had trouble finding a provider that met my needs.,Other,Other,5,6,4,1,3,2,"1 child ","$75-100 ","2-year-old ","Home  ","Bus or other public transportation ",10 to 20 minutes,8,5,3,Single,"English ",Very well,"Less than $14,000 ","High school graduate or GED completed ","Prefer not to say ",No,Not Hispanic or Latino,Black or African American
2023-11-29 10:53:14,2023-11-29 10:56:28,IP Address,24.129.92.182,100,193,True,2023-11-29 10:56:28,R_1ewMQLLL434rj38,,,,,30.6701,-81.4658,anonymous,EN,I agree to participate.,Yes,St. Johns,I had trouble finding a provider that met my needs.,I decided to stay home with my child.,Available providers were too expensive.,1,3,4,2,5,6,"1 child ","$0-25 ","1-year-old ","Home  ","Personal motor vehicle ",5 to 10 minutes,7,6,4,Living with partner in same household,"English ",Very well,"$50,000 to $74,000 ","Some college credit but no degree ","Employed full-time ",Yes,Not Hispanic or Latino,White
2023-11-29 10:58:08,2023-11-29 11:00:47,IP Address,12.230.111.10,100,158,True,2023-11-29 11:00:48,R_abFJuGRDzQ7aMoh,,,,,29.9149,-81.3672,anonymous,EN,I agree to participate.,Yes,St. Johns,I had trouble finding a provider that met my needs.,,Available providers were not open during the hours I needed.,1,3,4,2,5,6,"2 children  ","$75-100 ",Less than 1 year-old,"My other children’s school  ","Personal motor vehicle ",5 to 10 minutes,8,7,6+,"Divorced/Separated ","English ",Very well,"$30,000 to $39,000  ","High school graduate or GED completed ","Employed full-time ",No,Not Hispanic or Latino,White
2023-11-29 10:59:10,2023-11-29 11:02:23,IP Address,47.202.20.74,100,192,True,2023-11-29 11:02:23,R_3kKRh8YRW1zQvuI,,,,,27.3189,-82.5164,anonymous,EN,I agree to participate.,Yes,Sarasota,"My circumstances changed, and I no longer needed childcare for my child(ren).",I decided to stay home with my child.,Other,1,2,3,5,4,6,"1 child ","$75-100 ","2-year-old ","Home  ","Personal motor vehicle ",Less than 5 minutes,7,6,5,"Married ","English ",Very well,"Prefer not to answer ",Graduate or professional degree,"Homemaking (not paid) ",No,Not Hispanic or Latino,White
2023-11-29 10:55:01,2023-11-29 11:02:23,IP Address,172.56.96.50,100,441,True,2023-11-29 11:02:24,R_1LdsczUZioj9Mjz,,,,,27.959,-82.4938,anonymous,EN,I agree to participate.,Yes,Polk,I had trouble finding a provider that met my needs.,Other,I could not find a provider with openings to serve my child/children.,2,3,4,1,5,6,"3 children  ","$75-100 ","6-years-old or older  ","My other children’s school  ","Personal motor vehicle ",10 to 20 minutes,7:30,6pm,4,"Married ","English ",Very well,"$30,000 to $39,000  ","Some college credit but no degree ","Employed full-time ",No,Not Hispanic or Latino,Black or African American
2023-11-29 11:02:18,2023-11-29 11:06:25,IP Address,35.142.84.220,100,247,True,2023-11-29 11:06:25,R_qvUJTDihKink4IV,,,,,28.0206,-82.4574,anonymous,EN,I agree to participate.,Yes,Hillsborough,I had trouble finding a provider that met my needs.,Other,I could not find a provider with openings to serve my child/children.,4,1,2,3,5,6,"2 children  ","$50-75 ","6-years-old or older  ","Home  ","Bus or other public transportation ",5 to 10 minutes,6:30,6:00,3,Single,"English ",Very well,"$15,000 to 19,000 ","High school graduate or GED completed ","Employed full-time ",No,Not Hispanic or Latino,Black or African American
2023-11-29 11:07:09,2023-11-29 11:07:25,IP Address,73.104.61.140,100,16,True,2023-11-29 11:07:25,R_21jtyKniQwoz9ox,,,,,29.9149,-81.3672,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:08:32,2023-11-29 11:09:03,IP Address,24.231.118.25,100,31,True,2023-11-29 11:09:04,R_1jrAOdBeIdFBCvM,,,,,29.2221,-81.4351,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:08:45,2023-11-29 11:10:14,IP Address,172.59.104.253,100,89,True,2023-11-29 11:10:15,R_AM7hkAqMiWBKVHj,,,,,30.0035,-90.0607,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:07:30,2023-11-29 11:10:28,IP Address,73.104.61.140,100,177,True,2023-11-29 11:10:29,R_qFwBf237p2Zbhdv,,,,,29.9149,-81.3672,anonymous,EN,I agree to participate.,Yes,St. Johns,I had trouble finding a provider that met my needs.,I decided to stay home with my child.,Available providers were too expensive.,1,3,2,5,4,6,"5 or more children ","$0-25 ","Less than 1 year-old,4-year-old ","Home  ","Personal motor vehicle ",5 to 10 minutes,8,5,6+,Single,"English ",Very well,"Less than $14,000 ","Associate degree (AA, AS) ","Seeking job opportunities ",Yes,Not Hispanic or Latino,"Black or African American,White"
2023-11-29 11:01:47,2023-11-29 11:10:37,IP Address,47.203.38.156,100,530,True,2023-11-29 11:10:38,R_2rvhZdZnmVt4O1O,,,,,27.7052,-82.3136,anonymous,EN,I agree to participate.,Yes,Hillsborough,I wanted to stay at my current childcare provider who did not participate in the Florida School Readiness program (ELC voucher/subsidy).,,I could not find a provider with openings to serve my child/children.,1,2,3,4,5,6,"2 children  ","$0-25 ","1-year-old ,3-year-old ","Home  ","Bus or other public transportation ",5 to 10 minutes,7am,5pm,6+,Single,"English ",Very well,"Less than $14,000 ","High school graduate or GED completed ","Employed part-time ",No,Not Hispanic or Latino,Black or African American
2023-11-29 11:09:34,2023-11-29 11:13:21,IP Address,172.59.64.176,100,227,True,2023-11-29 11:13:22,R_BXrwVylxB1YlCWB,,,,,30.3562,-81.688,anonymous,EN,I agree to participate.,Yes,Duval,I had trouble finding a provider that met my needs.,,Other,2,3,1,4,5,6,"3 children  ","$50-75 ",Not Applicable,"Home  ","Personal motor vehicle ",5 to 10 minutes,6:30,6:00,3,Single,"English ",Very well,"$15,000 to 19,000 ","Some college credit but no degree ","Employed part-time ",No,Not Hispanic or Latino,Black or African American
2023-11-29 11:13:45,2023-11-29 11:16:05,IP Address,172.58.132.190,100,139,True,2023-11-29 11:16:05,R_2wLA7jwMva0Hgtw,,,,,25.7846,-80.233,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:19:41,2023-11-29 11:20:03,IP Address,107.123.37.12,100,22,True,2023-11-29 11:20:03,R_1FyMoAsvFTCpjH5,,,,,33.7485,-84.3871,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:13:30,2023-11-29 11:21:16,IP Address,208.89.76.194,100,466,True,2023-11-29 11:21:17,R_1H6NiKyWzbMflIu,,,,,26.6207,-81.8741,anonymous,EN,I agree to participate.,Yes,Lee,I had trouble finding a provider that met my needs.,Other,"Available providers were too expensive.,Available providers were not open during the hours I needed.",1,2,4,3,5,6,"3 children  ","$25-50 ","6-years-old or older  ","Home  ","Personal motor vehicle ",10 to 20 minutes,0,4pm to 6pm,5,"Married ","English ",Very well,"$40,000 to $49,000 ","High school graduate or GED completed ","Homemaking (not paid) ",No,Not Hispanic or Latino,Black or African American
2023-11-29 11:22:53,2023-11-29 11:23:22,IP Address,16.98.18.128,100,28,True,2023-11-29 11:23:22,R_1LGSu3AHj9rvRu9,,,,,28.7115,-81.5135,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:23:23,2023-11-29 11:23:42,IP Address,174.228.165.187,100,19,True,2023-11-29 11:23:43,R_25Y2K2SFa9N2CLE,,,,,28.6344,-81.6221,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:20:24,2023-11-29 11:24:10,IP Address,65.153.111.122,100,225,True,2023-11-29 11:24:10,R_3EYFbIdHa2RdNGE,,,,,26.7172,-80.9492,anonymous,EN,I agree to participate.,Yes,Glades,I had trouble finding a provider that met my needs.,,I could not find a provider with openings to serve my child/children.,4,2,3,1,6,5,"1 child ","$100-150 ",Less than 1 year-old,"My other children’s school  ","Personal motor vehicle ",Less than 5 minutes,7:30,6,3,"Divorced/Separated ","English ",Very well,"$20,000 to 29,000 ","Some college credit but no degree ","Employed full-time ",No,Not Hispanic or Latino,"Black or African American,White"
2023-11-29 11:29:07,2023-11-29 11:29:26,IP Address,172.56.96.188,100,18,True,2023-11-29 11:29:27,R_s858jXEFzSyRiKt,,,,,27.959,-82.4938,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:34:31,2023-11-29 11:39:55,IP Address,174.211.170.68,100,323,True,2023-11-29 11:39:55,R_2VCjDj2tQYoqAUx,,,,,27.9654,-82.4307,anonymous,EN,I agree to participate.,Yes,Hillsborough,"My circumstances changed, and I no longer needed childcare for my child(ren).",I moved.,Available providers were not conveniently located.,4,1,3,2,5,6,"2 children  ","$25-50 ","6-years-old or older  ","Home  ","Bus or other public transportation ",10 to 20 minutes,630,830,3,Single,"English ",Very well,"$30,000 to $39,000  ","Associate degree (AA, AS) ","Employed full-time ",Yes,Not Hispanic or Latino,Black or African American
2023-11-29 11:41:39,2023-11-29 11:41:53,IP Address,73.1.203.79,100,14,True,2023-11-29 11:41:54,R_x5YW9NQ9n9tFmiB,,,,,27.451,-80.3357,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:35:43,2023-11-29 11:42:09,IP Address,67.44.240.13,100,386,True,2023-11-29 11:42:09,R_yxYG81zFuI89ZZf,,,,,33.5226,-86.8033,anonymous,EN,I agree to participate.,Yes,Santa Rosa,I had trouble finding a provider that met my needs.,,Available providers were too expensive.,3,4,1,5,2,6,"3 children  ","$25-50 ","3-year-old ,4-year-old ","Home  ","Personal motor vehicle ",5 to 10 minutes,6,6,5,"Married ","English ",Very well,"Prefer not to answer ","Associate degree (AA, AS) ","Employed part-time ",No,Not Hispanic or Latino,White
2023-11-29 11:44:16,2023-11-29 11:44:38,IP Address,172.59.64.205,100,21,True,2023-11-29 11:44:38,R_pSIT9sqaLVaMm5P,,,,,30.3562,-81.688,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:44:36,2023-11-29 11:44:50,IP Address,67.8.96.81,100,14,True,2023-11-29 11:44:51,R_3hDsM4I19y74cZP,,,,,28.5788,-81.4396,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 11:35:09,2023-11-29 11:46:15,IP Address,169.139.8.226,100,665,True,2023-11-29 11:46:15,R_2ZQzavdHJTBm2N7,,,,,26.1374,-80.1684,anonymous,EN,I agree to participate.,Yes,Broward,I had trouble finding a provider that met my needs.,,I could not find a provider with openings to serve my child/children.,1,2,3,4,5,6,"2 children  ","$0-25 ","2-year-old ,3-year-old ","Work  ","Personal motor vehicle ",5 to 10 minutes,6,7,3,Single,"English ",Very well,"$30,000 to $39,000  ","Associate degree (AA, AS) ","Employed full-time ",No,Not Hispanic or Latino,Prefer not to answer
2023-11-29 11:52:56,2023-11-29 11:55:50,IP Address,68.35.242.132,100,173,True,2023-11-29 11:55:50,R_1EZro6tSFlZ96Cq,,,,,30.4566,-84.3223,anonymous,EN,I agree to participate.,Yes,Leon,I had trouble finding a provider that met my needs.,,Other,2,3,4,5,1,6,"2 children  ","$100-150 ","4-year-old ,5-year-old ","Home  ","Personal motor vehicle ",10 to 20 minutes,6,6,4,Single,"English ",Very well,"$40,000 to $49,000 ","Associate degree (AA, AS) ","Employed full-time ",No,Not Hispanic or Latino,White
2023-11-29 11:50:38,2023-11-29 11:57:45,IP Address,75.200.19.194,100,427,True,2023-11-29 11:57:46,R_2V9GlVsPvovFw1X,,,,,28.5815,-81.485,anonymous,EN,I agree to participate.,Yes,Hernando,"My circumstances changed, and I no longer needed childcare for my child(ren).",Other,Other,1,2,6,3,4,5,"1 child ","$25-50 ",Not Applicable,"Other location ","Personal motor vehicle ",5 to 10 minutes,9-4,6,4,"Married ","English ",Very well,"Prefer not to answer ","High school graduate or GED completed ","Retired ",No,Not Hispanic or Latino,White
2023-11-29 12:05:21,2023-11-29 12:05:31,IP Address,76.148.47.148,100,9,True,2023-11-29 12:05:31,R_1IYi1Ymn1zAUZvM,,,,,26.5559,-82.0214,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 12:19:31,2023-11-29 12:19:47,IP Address,76.108.228.50,100,16,True,2023-11-29 12:19:48,R_cHlleLd4I2UlvCV,,,,,26.7457,-80.0722,anonymous,EN,I do not wish to participate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 12:16:17,2023-11-29 12:21:17,IP Address,166.196.54.27,100,299,True,2023-11-29 12:21:17,R_2xF8lctD9UijSrC,,,,,33.7485,-84.3871,anonymous,EN,I agree to participate.,Yes,Polk,I had trouble finding a provider that met my needs.,"I found alternative care arrangements without using the Florida School Readiness program  (ELC voucher/subsidy).,Other",I could not find a provider with openings to serve my child/children.,5,3,1,4,2,6,"1 child ","$25-50 ","2-year-old ","My other children’s school  ","Personal motor vehicle ",5 to 10 minutes,8,5:30,4,Single,"English ",Very well,"$15,000 to 19,000 ","Some college credit but no degree ","Employed full-time ",No,Not Hispanic or Latino,White
2023-11-29 12:29:44,2023-11-29 12:30:20,IP Address,172.56.76.59,100,36,True,2023-11-29 12:30:21,R_eWq4Ct5MyIz5AAN,,,,,28.5788,-81.4396,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 12:38:29,2023-11-29 12:38:53,IP Address,66.177.158.49,100,23,True,2023-11-29 12:38:54,R_eJaTHSluIPobWjT,,,,,30.2712,-81.7529,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 12:42:13,2023-11-29 12:43:10,IP Address,73.35.96.144,100,57,True,2023-11-29 12:43:10,R_3CJUC4wbuTKNEtK,,,,,29.6669,-81.6579,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 12:50:11,2023-11-29 12:50:55,IP Address,107.146.81.142,100,44,True,2023-11-29 12:50:56,R_2yary6DgF4axmTF,,,,,27.8044,-82.2759,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 12:54:09,2023-11-29 12:54:35,IP Address,172.56.79.28,100,25,True,2023-11-29 12:54:37,R_2dnEsDQLxlybe9v,,,,,28.5177,-81.4508,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 12:56:38,2023-11-29 12:56:44,IP Address,75.145.2.1,100,6,True,2023-11-29 12:56:44,R_1pYECcDXaQynCF7,,,,,26.9901,-82.0947,anonymous,EN,I do not wish to participate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 12:18:18,2023-11-29 13:00:51,IP Address,66.177.71.51,100,2553,True,2023-11-29 13:00:52,R_2s5NcjJoXG62eZ2,,,,,30.3958,-81.6893,anonymous,EN,I do not wish to participate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 13:11:18,2023-11-29 13:11:26,IP Address,35.145.231.33,100,7,True,2023-11-29 13:11:26,R_9ZAaYaQRxJmWDC1,,,,,28.0436,-81.7333,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 13:16:27,2023-11-29 13:17:08,IP Address,164.51.190.66,100,41,True,2023-11-29 13:17:08,R_1LnRtEtbmxRKbGY,,,,,28.5978,-81.3024,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 13:20:33,2023-11-29 13:20:52,IP Address,166.205.159.110,100,18,True,2023-11-29 13:20:52,R_2CI0ZS8IGHoW2oM,,,,,25.8119,-80.2318,anonymous,EN,I do not wish to participate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 13:44:45,2023-11-29 14:13:43,IP Address,172.56.72.30,100,1738,True,2023-11-29 14:13:44,R_AbSnmhKUUowhqrn,,,,,28.4883,-81.4061,anonymous,EN,I agree to participate.,Yes,Marion,I had trouble finding a provider that met my needs.,Other,I could not find a provider with openings to serve my child/children.,5,2,1,3,4,6,"1 child ","$0-25 ","6-years-old or older  ","Home  ","Personal motor vehicle ",Less than 5 minutes,2:30,6:00,2,Single,"English ",Very well,"Less than $14,000 ","High school graduate or GED completed ","Prefer not to say ",No,Not Hispanic or Latino,Black or African American
2023-11-29 14:08:54,2023-11-29 14:19:53,IP Address,173.171.146.5,100,659,True,2023-11-29 14:19:54,R_3CCqUOhZ04h0qKr,,,,,28.4775,-82.571,anonymous,EN,I agree to participate.,Yes,Hernando,I wanted to stay at my current childcare provider who did not participate in the Florida School Readiness program (ELC voucher/subsidy).,I found alternative care arrangements without using the Florida School Readiness program  (ELC voucher/subsidy).,I did not experience any challenges.,3,4,1,5,2,6,"1 child ","$75-100 ","3-year-old ","Home  ","Personal motor vehicle ",5 to 10 minutes,7:00,6:00,5,Single,"English ",Very well,"$40,000 to $49,000 ","Some college credit but no degree ","Employed full-time ",No,Not Hispanic or Latino,Black or African American
2023-11-29 14:53:59,2023-11-29 14:54:17,IP Address,98.230.41.40,100,18,True,2023-11-29 14:54:17,R_vdBaJ57it81LaiB,,,,,30.4908,-84.3158,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 15:33:08,2023-11-29 15:41:36,IP Address,67.190.221.252,100,507,True,2023-11-29 15:41:36,R_3lSMDnitpqB5YPV,,,,,29.6669,-81.6579,anonymous,EN,I agree to participate.,Yes,Putnam,I had trouble finding a provider that met my needs.,"I found family/friends to help with childcare.,I found alternative care arrangements without using the Florida School Readiness program  (ELC voucher/subsidy).","Available providers were too expensive.,Available providers were not open during the hours I needed.",3,5,2,4,1,6,"3 children  ","$25-50 ","Less than 1 year-old,5-year-old ,6-years-old or older  ","Home  ","Personal motor vehicle ",5 to 10 minutes,5,6,5,Single,"English ",Very well,"$20,000 to 29,000 ","Some college credit but no degree ","Employed full-time ",No,Not Hispanic or Latino,Black or African American
2023-11-29 15:53:27,2023-11-29 16:00:30,IP Address,76.242.38.139,100,423,True,2023-11-29 16:00:30,R_2cvaMUk34f0yfbN,,,,,30.3122,-81.7243,anonymous,EN,I agree to participate.,Yes,Duval,I had trouble finding a provider that met my needs.,,"Available providers were too expensive.,Available providers were not high quality.,Other",2,4,1,5,3,6,"1 child ","$0-25 ",Not Applicable,"Home  ","Personal motor vehicle ",10 to 20 minutes,8,5,3,"Divorced/Separated ","English ",Very well,"Prefer not to answer ","Bachelor’s degree (BA, BS, AB) ","Retired ",No,Not Hispanic or Latino,Other
2023-11-29 17:04:19,2023-11-29 17:04:41,IP Address,172.58.252.128,100,22,True,2023-11-29 17:04:42,R_2zkzcPQSxQvCeaM,,,,,35.2296,-80.843,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 17:06:28,2023-11-29 17:08:55,IP Address,98.183.31.200,100,147,True,2023-11-29 17:08:55,R_2zBiZsrZZc4kV4c,,,,,30.4462,-87.2624,anonymous,EN,I agree to participate.,Yes,Escambia,I had trouble finding a provider that met my needs.,Other,Available providers were too expensive.,2,6,1,3,4,5,"2 children  ","$50-75 ","6-years-old or older  ","Home  ","Personal motor vehicle ",5 to 10 minutes,6,6,3,"Divorced/Separated ","English ",Very well,"$20,000 to 29,000 ","Some college credit but no degree ","Employed full-time ",No,Not Hispanic or Latino,White
2023-11-15 17:34:39,2023-11-15 17:34:49,IP Address,193.36.224.154,8,9,False,2023-11-29 17:34:49,R_3iPcPF9SQttaUSO,,,,,,,anonymous,EN,I agree to participate.,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 17:31:18,2023-11-29 17:36:59,IP Address,172.58.132.57,100,340,True,2023-11-29 17:36:59,R_29cZ8EInge1NGTP,,,,,25.7846,-80.233,anonymous,EN,I agree to participate.,Yes,Broward,I had trouble finding a provider that met my needs.,,None of the available providers were a good fit for my needs.,1,2,3,4,5,6,"4 children  ","$25-50 ","4-year-old ,6-years-old or older  ","My other children’s school  ","Personal motor vehicle ",5 to 10 minutes,6,7,5,Single,"English ",Very well,"$30,000 to $39,000  ","Some college credit but no degree ","Employed full-time ",No,Prefer not to answer,Black or African American
2023-11-29 17:43:00,2023-11-29 17:43:05,IP Address,73.19.159.141,100,5,True,2023-11-29 17:43:06,R_w7s7CwoDNnS7ahP,,,,,30.2108,-84.3205,anonymous,EN,I do not wish to participate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 18:36:05,2023-11-29 18:39:44,IP Address,16.98.39.154,100,218,True,2023-11-29 18:39:45,R_3hF7gljqaflMLNp,,,,,28.2365,-82.3289,anonymous,EN,I agree to participate.,Yes,Pasco,"My circumstances changed, and I no longer needed childcare for my child(ren).",I was no longer eligible for the Florida School Readiness program (ELC voucher/subsidy).,Other,1,2,6,3,4,5,"1 child ","$100-150 ",Not Applicable,"Home  ","Personal motor vehicle ",10 to 20 minutes,6:30,6:30,4,"Divorced/Separated ","English ",Very well,"$30,000 to $39,000  ","Some college credit but no degree ","Employed full-time ",Yes,Not Hispanic or Latino,Black or African American
2023-11-29 18:42:10,2023-11-29 18:45:58,IP Address,73.107.112.19,100,228,True,2023-11-29 18:45:58,R_6fHjZjTA3McovSN,,,,,26.6462,-81.8455,anonymous,EN,I agree to participate.,Yes,Lee,I had trouble finding a provider that met my needs.,,I could not find a provider with openings to serve my child/children.,3,1,2,4,5,6,"2 children  ","$25-50 ","6-years-old or older  ","Home  ","Walking ",Less than 5 minutes,8,6,4,Single,"English ",Very well,"$30,000 to $39,000  ","High school graduate or GED completed ","Prefer not to say ",No,Not Hispanic or Latino,White
2023-11-29 18:54:52,2023-11-29 18:55:22,IP Address,174.240.67.41,100,30,True,2023-11-29 18:55:22,R_2EcpbKP2qCnlQUX,,,,,29.2575,-82.1588,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 18:55:29,2023-11-29 18:59:10,IP Address,174.240.67.41,100,221,True,2023-11-29 18:59:11,R_1ez686quj6TA0Hm,,,,,29.2575,-82.1588,anonymous,EN,I agree to participate.,Yes,Hillsborough,I had trouble finding a provider that met my needs.,,"Available providers were not high quality.,Other",4,3,2,5,1,6,"1 child ","$0-25 ","4-year-old ","Other location ","Personal motor vehicle ",5 to 10 minutes,Na,6,2,Single,"English ",Very well,"$20,000 to 29,000 ","High school graduate or GED completed ","Employed part-time ",No,Hispanic or Latino,White
